"Method","Time"
"Serial",7.32336711883545
"Serial",3.53548789024353
"Serial",3.2536289691925
"Serial",3.30187511444092
"Serial",5.1747419834137
"Serial",3.27268505096436
"Serial",3.15237283706665
"Serial",3.25905704498291
"Serial",3.49732995033264
"Serial",3.79647302627563
"Serial",3.42604994773865
"Serial",3.49762511253357
"Serial",3.06404900550842
"Serial",3.34637093544006
"Serial",3.38164591789246
"Serial",3.41535997390747
"Serial",3.43354415893555
"Serial",3.95460319519043
"Serial",6.1592869758606
"Serial",4.29337406158447
"Serial",3.91504192352295
"Serial",8.9325909614563
"Serial",5.74038600921631
"Serial",4.98334407806396
"Serial",4.86842894554138
"Serial",4.47165179252625
"Serial",4.94957304000854
"Serial",4.55046796798706
"Serial",4.89322710037231
"Serial",5.95633816719055
"Serial",2.96431303024292
"Serial",2.98312401771545
"Serial",3.03280210494995
"Serial",3.18306303024292
"Serial",2.79426097869873
"Serial",2.89268803596497
"Serial",2.92010879516602
"Serial",2.97035503387451
"Serial",2.96009397506714
"Serial",2.99760580062866
"Serial",3.04296493530273
"Serial",3.01529097557068
"Serial",2.86304116249084
"Serial",2.92947196960449
"Serial",2.95945715904236
"Serial",2.9809718132019
"Serial",3.01641917228699
"Serial",3.05626392364502
"Serial",3.09101009368896
"Serial",2.8229660987854
"Serial",2.86280012130737
"Serial",2.92055106163025
"Serial",3.03578996658325
"Serial",2.98178791999817
"Serial",3.05350589752197
"Serial",3.19949984550476
"Serial",2.79197001457214
"Serial",2.90332412719727
"Serial",2.89425301551819
"Serial",2.94172787666321
"Serial",2.9476478099823
"Serial",3.04514694213867
"Serial",3.07948994636536
"Serial",3.03371095657349
"Serial",2.85604691505432
"Serial",3.12659883499146
"Serial",2.96346211433411
"Serial",3.05340194702148
"Serial",2.97990489006042
"Serial",3.0220160484314
"Serial",3.08531212806702
"Serial",2.81745600700378
"Serial",3.08712410926819
"Serial",2.93757700920105
"Serial",2.95307087898254
"Serial",3.21547698974609
"Serial",3.15186095237732
"Serial",3.19596886634827
"Serial",2.80877590179443
"Serial",3.12615203857422
"Serial",3.71108293533325
